Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/glass_set,15,GRASP,1008,0.220659,0.193516,41,100000,5.80427
data/glass_set,15,GRASP,1009,0.222121,0.193654,43,100000,5.85345
data/glass_set,30,RandomSearch,1000,0.428355,0.358182,219,100000,11.2534
data/glass_set,30,RandomSearch,1001,0.425725,0.353309,226,100000,11.2091
data/glass_set,30,RandomSearch,1002,0.425931,0.344544,254,100000,11.1497
data/glass_set,30,RandomSearch,1003,0.426307,0.362863,198,100000,11.3629
data/glass_set,30,RandomSearch,1004,0.428647,0.350463,244,100000,11.2318
data/glass_set,30,RandomSearch,1005,0.422807,0.357761,203,100000,11.294
data/glass_set,30,RandomSearch,1006,0.430433,0.372436,181,100000,11.1958
data/glass_set,30,RandomSearch,1007,0.423894,0.357246,208,100000,11.2663
data/glass_set,30,RandomSearch,1008,0.426279,0.371167,172,100000,11.1523
data/glass_set,30,RandomSearch,1009,0.420691,0.346994,230,100000,11.2098
data/glass_set,30,GreedySearch,1000,0.282216,0.282216,0,1,0.00980647
data/glass_set,30,GreedySearch,1001,0.292238,0.292238,0,1,0.0097852
data/glass_set,30,GreedySearch,1002,0.264074,0.264074,0,1,0.0110033
data/glass_set,30,GreedySearch,1003,0.284937,0.284937,0,1,0.0116453
data/glass_set,30,GreedySearch,1004,0.260784,0.260784,0,1,0.0195233
data/glass_set,30,GreedySearch,1005,0.276324,0.276324,0,1,0.0136445
data/glass_set,30,GreedySearch,1006,0.275088,0.275088,0,1,0.0136506
data/glass_set,30,GreedySearch,1007,0.27627,0.27627,0,1,0.0136671
data/glass_set,30,GreedySearch,1008,0.305125,0.305125,0,1,0.0117145
data/glass_set,30,GreedySearch,1009,0.276077,0.276077,0,1,0.0175654
data/glass_set,30,LocalSearch,1000,0.156343,0.122378,106,81183,8.40157
data/glass_set,30,LocalSearch,1001,0.160951,0.124423,114,57159,5.94149
data/glass_set,30,LocalSearch,1002,0.158055,0.125692,101,58108,6.08734
data/glass_set,30,LocalSearch,1003,0.155164,0.120879,107,100000,10.4392
data/glass_set,30,LocalSearch,1004,0.162065,0.128421,105,100000,10.4841
data/glass_set,30,LocalSearch,1005,0.162597,0.130555,100,52665,5.52369
data/glass_set,30,LocalSearch,1006,0.157358,0.124355,103,98828,10.3139
data/glass_set,30,LocalSearch,1007,0.15787,0.128711,91,79055,8.18327
data/glass_set,30,LocalSearch,1008,0.162849,0.128244,108,70430,7.31004
data/glass_set,30,LocalSearch,1009,0.160379,0.128016,101,67753,6.98425
data/glass_set,30,AM-Best,1000,0.149175,0.118415,96,100000,10.2887
data/glass_set,30,AM-Best,1001,0.148783,0.125392,73,100000,10.2969
data/glass_set,30,AM-Best,1002,0.155299,0.119412,112,100000,10.3765
data/glass_set,30,AM-Best,1003,0.1583,0.127219,97,100000,10.4706
data/glass_set,30,AM-Best,1004,0.161244,0.129522,99,100000,10.313
data/glass_set,30,AM-Best,1005,0.159616,0.132701,84,100000,10.3151
data/glass_set,30,AM-Best,1006,0.148685,0.118245,95,100000,10.5241
data/glass_set,30,AM-Best,1007,0.151313,0.117989,104,100000,10.4246
data/glass_set,30,AM-Best,1008,0.145022,0.121952,72,100000,10.3404
data/glass_set,30,AM-Best,1009,0.155601,0.12484,96,100000,10.3508
data/glass_set,30,SimulatedAnnealing,1000,0.210217,0.149657,189,100000,10.3593
data/glass_set,30,SimulatedAnnealing,1001,0.2071,0.151026,175,100000,10.4696
data/glass_set,30,SimulatedAnnealing,1002,0.198181,0.149797,151,100000,10.4616
data/glass_set,30,SimulatedAnnealing,1003,0.204067,0.149595,170,100000,10.3598
data/glass_set,30,SimulatedAnnealing,1004,0.205383,0.144503,190,100000,10.3475
data/glass_set,30,SimulatedAnnealing,1005,0.202705,0.146311,176,100000,10.4552
